CMDLINE /home/alfredo/.cache/pypoetry/virtualenvs/db-sicredi-BphEo1On-py3.11/bin/python script/worst_performance/question2.py
MEM 23.832031 1713396067.4748
MEM 23.832031 1713396067.5749
MEM 23.832031 1713396067.6750
MEM 23.832031 1713396067.7752
MEM 23.832031 1713396067.8753
MEM 23.832031 1713396067.9755
MEM 23.832031 1713396068.0757
MEM 23.832031 1713396068.1759
MEM 23.832031 1713396068.2761
MEM 23.832031 1713396068.3763
MEM 23.832031 1713396068.4764
MEM 23.832031 1713396068.5766
MEM 23.832031 1713396068.6767
MEM 23.832031 1713396068.7768
MEM 23.832031 1713396068.8770
MEM 23.832031 1713396068.9771
MEM 23.832031 1713396069.0772
MEM 23.832031 1713396069.1774
MEM 23.832031 1713396069.2777
MEM 23.832031 1713396069.3778
MEM 23.832031 1713396069.4779
MEM 23.832031 1713396069.5780
MEM 23.832031 1713396069.6782
MEM 23.832031 1713396069.7783
MEM 23.832031 1713396069.8784
MEM 23.832031 1713396069.9785
MEM 23.832031 1713396070.0787
MEM 23.832031 1713396070.1788
MEM 23.832031 1713396070.2790
MEM 23.832031 1713396070.3792
MEM 23.832031 1713396070.4794
MEM 23.832031 1713396070.5795
MEM 23.832031 1713396070.6797
MEM 23.832031 1713396070.7799
MEM 23.832031 1713396070.8801
MEM 23.832031 1713396070.9802
MEM 23.832031 1713396071.0803
MEM 23.832031 1713396071.1805
MEM 23.832031 1713396071.2807
MEM 23.832031 1713396071.3809
MEM 23.832031 1713396071.4810
MEM 23.832031 1713396071.5812
MEM 23.832031 1713396071.6813
MEM 23.832031 1713396071.7814
MEM 23.832031 1713396071.8816
MEM 23.832031 1713396071.9817
MEM 23.832031 1713396072.0818
MEM 23.832031 1713396072.1820
MEM 23.832031 1713396072.2821
MEM 23.832031 1713396072.3822
MEM 23.832031 1713396072.4825
MEM 23.832031 1713396072.5826
MEM 23.832031 1713396072.6827
MEM 23.832031 1713396072.7829
MEM 23.832031 1713396072.8830
MEM 23.832031 1713396072.9832
MEM 23.832031 1713396073.0833
MEM 23.832031 1713396073.1835
MEM 23.832031 1713396073.2836
MEM 23.832031 1713396073.3838
MEM 23.832031 1713396073.4840
MEM 23.832031 1713396073.5841
MEM 23.832031 1713396073.6842
MEM 23.832031 1713396073.7844
MEM 23.832031 1713396073.8845
MEM 23.832031 1713396073.9846
MEM 23.832031 1713396074.0847
MEM 23.832031 1713396074.1849
MEM 23.832031 1713396074.2850
MEM 23.832031 1713396074.3851
MEM 23.832031 1713396074.4854
MEM 23.832031 1713396074.5856
MEM 23.832031 1713396074.6858
MEM 23.832031 1713396074.7859
MEM 23.832031 1713396074.8860
MEM 23.832031 1713396074.9862
MEM 23.832031 1713396075.0863
MEM 23.832031 1713396075.1865
MEM 23.832031 1713396075.2867
MEM 23.832031 1713396075.3868
MEM 23.832031 1713396075.4869
MEM 23.832031 1713396075.5871
MEM 23.832031 1713396075.6873
MEM 23.832031 1713396075.7875
MEM 23.832031 1713396075.8877
MEM 23.832031 1713396075.9878
MEM 23.832031 1713396076.0880
MEM 23.832031 1713396076.1881
MEM 23.832031 1713396076.2882
MEM 23.832031 1713396076.3884
MEM 23.832031 1713396076.4885
MEM 23.832031 1713396076.5888
MEM 23.832031 1713396076.6890
MEM 23.832031 1713396076.7891
MEM 23.832031 1713396076.8893
MEM 23.832031 1713396076.9894
MEM 23.832031 1713396077.0895
MEM 23.832031 1713396077.1897
MEM 23.832031 1713396077.2899
MEM 23.832031 1713396077.3900
MEM 23.832031 1713396077.4902
MEM 23.832031 1713396077.5903
MEM 23.832031 1713396077.6905
MEM 23.832031 1713396077.7906
MEM 23.832031 1713396077.8908
MEM 23.832031 1713396077.9909
MEM 23.832031 1713396078.0911
MEM 23.832031 1713396078.1912
MEM 23.832031 1713396078.2913
MEM 23.832031 1713396078.3914
MEM 23.832031 1713396078.4916
MEM 23.832031 1713396078.5917
MEM 23.832031 1713396078.6920
MEM 23.832031 1713396078.7922
MEM 23.832031 1713396078.8923
MEM 23.832031 1713396078.9925
MEM 23.832031 1713396079.0926
MEM 23.832031 1713396079.1928
MEM 23.832031 1713396079.2930
MEM 23.832031 1713396079.3931
MEM 23.832031 1713396079.4933
MEM 23.832031 1713396079.5934
MEM 23.832031 1713396079.6936
MEM 23.832031 1713396079.7937
MEM 23.832031 1713396079.8939
MEM 23.832031 1713396079.9940
MEM 23.832031 1713396080.0941
MEM 23.832031 1713396080.1943
MEM 23.832031 1713396080.2944
MEM 23.832031 1713396080.3945
MEM 23.832031 1713396080.4947
MEM 23.832031 1713396080.5948
MEM 23.832031 1713396080.6950
MEM 23.832031 1713396080.7952
MEM 23.832031 1713396080.8955
MEM 23.832031 1713396080.9957
MEM 23.832031 1713396081.0959
MEM 23.832031 1713396081.1960
MEM 23.832031 1713396081.2962
MEM 23.832031 1713396081.3964
MEM 23.832031 1713396081.4965
MEM 23.832031 1713396081.5967
MEM 23.832031 1713396081.6968
MEM 23.832031 1713396081.7970
MEM 23.832031 1713396081.8972
MEM 23.832031 1713396081.9975
MEM 23.832031 1713396082.0978
MEM 23.832031 1713396082.1980
MEM 23.832031 1713396082.2982
MEM 23.832031 1713396082.3985
MEM 23.832031 1713396082.4987
MEM 23.832031 1713396082.5989
MEM 23.832031 1713396082.6991
MEM 23.832031 1713396082.7993
MEM 23.832031 1713396082.8997
MEM 23.832031 1713396082.9999
MEM 23.832031 1713396083.1001
MEM 23.832031 1713396083.2003
MEM 23.832031 1713396083.3005
MEM 23.832031 1713396083.4008
MEM 23.832031 1713396083.5010
MEM 23.832031 1713396083.6013
MEM 23.832031 1713396083.7015
MEM 23.832031 1713396083.8017
MEM 23.832031 1713396083.9020
MEM 23.832031 1713396084.0021
MEM 23.832031 1713396084.1023
MEM 23.832031 1713396084.2025
MEM 23.832031 1713396084.3027
MEM 23.832031 1713396084.4030
MEM 23.832031 1713396084.5032
MEM 23.832031 1713396084.6034
MEM 23.832031 1713396084.7036
MEM 23.832031 1713396084.8038
MEM 23.832031 1713396084.9040
MEM 23.832031 1713396085.0042
MEM 23.832031 1713396085.1044
MEM 23.832031 1713396085.2046
MEM 23.832031 1713396085.3049
MEM 23.832031 1713396085.4051
MEM 23.832031 1713396085.5053
MEM 23.832031 1713396085.6055
MEM 23.832031 1713396085.7057
MEM 23.832031 1713396085.8060
MEM 23.832031 1713396085.9063
MEM 23.832031 1713396086.0065
MEM 23.832031 1713396086.1068
MEM 23.832031 1713396086.2071
MEM 23.832031 1713396086.3073
MEM 23.832031 1713396086.4076
MEM 23.832031 1713396086.5078
MEM 23.832031 1713396086.6080
MEM 23.832031 1713396086.7083
MEM 23.832031 1713396086.8085
MEM 23.832031 1713396086.9086
MEM 23.832031 1713396087.0089
MEM 23.832031 1713396087.1091
MEM 23.832031 1713396087.2093
MEM 23.832031 1713396087.3095
MEM 23.832031 1713396087.4098
MEM 23.832031 1713396087.5100
MEM 23.832031 1713396087.6102
MEM 23.832031 1713396087.7104
MEM 23.832031 1713396087.8106
MEM 23.832031 1713396087.9108
MEM 23.832031 1713396088.0110
MEM 23.832031 1713396088.1112
MEM 23.832031 1713396088.2115
MEM 23.832031 1713396088.3117
MEM 23.832031 1713396088.4119
MEM 23.832031 1713396088.5121
MEM 23.832031 1713396088.6124
MEM 23.832031 1713396088.7126
MEM 23.832031 1713396088.8128
MEM 23.832031 1713396088.9130
MEM 23.832031 1713396089.0132
MEM 23.832031 1713396089.1135
MEM 23.832031 1713396089.2137
MEM 23.832031 1713396089.3139
MEM 23.832031 1713396089.4141
MEM 23.832031 1713396089.5143
MEM 23.832031 1713396089.6145
MEM 23.832031 1713396089.7148
MEM 23.832031 1713396089.8150
